ID,Name,Concepticon_ID,Concepticon_Gloss
791-lachen,lachen,1355,LAUGH
793-weinen,weinen,1839,CRY
795-sichargern,sich ärgern,2223,BE ANGRY
796-sichfurchten,sich fürchten,1419,FEAR (BE AFRAID)
798-fliehen,fliehen,956,FLEE
799-fluchten,flüchten,1615,ESCAPE
800-sehen,sehen,1409,SEE
801-anschauen,anschauen,1819,LOOK
802-ansehen,ansehen,1650,WATCH
803-horen,hören,1408,HEAR
804-zuhoren,zuhören,1608,LISTEN
805-probieren,probieren,21,TASTE (SOMETHING)
807-fuhlen,fühlen,2559,FEEL (TACTUALLY)
812-tun,tun,813,DO
813-konnen,können,972,BE ABLE
814-wollen,wollen,1784,WANT
815-anfangen,anfangen,1806,BEGIN
816-beenden,beenden,1766,FINISH
818-gelingen,gelingen,1112,SUCCEED
